Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Agent Phone Number
Renters,95134,Nora,Jackson,3/8/1990,m,70 Descanso Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 733-4733,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,100000,N,2500,11647783,180,$11.45,Rachel Arroyo,"4677 Old Ironsides Dr Ste 445 Santa Clara, CA 95054-1826",(408) 768-2845
Renters,95126,Savannah,Love,11/18/1989,f,754 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 293-3888,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,100000,N,5000,81129510,180,$12.20,Dipika Vora,"2603 Camino Ramon Ste 433 San Ramon, CA 94583-9129",(408) 941-0094
Renters,94085,Avery,Cabrera,7/31/1988,m,1257 Lakeside Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 923-6900,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,100,32511395,180,$23.76,Kevin Fitzpatrick,"830 Stewart Dr Ste 288 Sunnyvale, CA 94085-4513",(408) 736-5395
Renters,95128,Zachary,Salinas,3/3/1988,f,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(925) 228-0760,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,100 / 250,,,,,,
Renters,94087,Mathew,Tran,3/3/1988,m,745 S Bernardo Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 308-7225,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,250,39300413,180,$19.43,Svetlana Serebnitskaya,"1700 Ygnacio Valley Rd Ste 210a Walnut Creek, CA 94598-3126",(925) 352-7447
Renters,94040,Adrian,Fernandez,11/12/1990,f,234 Escuela Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 216-8884,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,500,47250596,180,$18.04,Jianhong Zhou,"39812 Mission Blvd Ste 203 Fremont, CA 94539-3087",(510) 656-1009
Renters,94304,Lila,King,11/18/1989,f,700 Clark Way,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(831) 469-3620,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,750,28084894,180,$17.00,John Kikes,"125 Railroad Ave Ste 200 Danville, CA 94526-3835",(925) 820-6661
Renters,95051,Ariana,Meyers,3/3/1988,m,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 377-2331,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,1000,87787940,180,$16.13,Teketel Mulugeta,"3550 Stevens Creek Blvd Ste 310  San Jose, CA 95117-1060",(408) 249-8123
Renters,94085,Violet,Vargas,3/8/1990,f,1257 Lakeside Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 384-8887,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,1500,460743,180,$15.09,Fareh Khalid,"542 Lakeside Dr Ste 2e Sunnyvale, CA 94085-4005",(408) 377-8070
Renters,94087,Isabel,Sandoval,11/18/1989,f,575 E Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 733-2306,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,2500,55593050,180,$13.53,Yi Ju,"7337 Bollinger Rd Ste A Cupertino, CA 95014-4329",(408) 996-7200
Renters,95136,Anastasia,Sandoval,7/31/1988,f,4300 The Woods Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 378-7188,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,300000,N,5000,,,,,,
Renters,95054,Lillian,Barber,4/5/1990,f,730 Agnew Rd,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 599-5321,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,100,96197344,180,$25.43,William Ping,"1246 Homestead Rd Ste 3 Santa Clara, CA 95050-5487",(408) 985-2965
Renters,95125,Elizabeth,Powell,5/6/1989,m,2118 Canoas Garden Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 586-9001,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,100 / 250,27341686,180,$30.37,Kevin Hunt,"105 S Main St Ste 6 Templeton, CA 93465-9601",(805) 434-3276
Renters,95014,Grace,Harrington,11/12/1990,f,19608 Pruneridge Ave,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 512-2708,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,250,,,,,,
Renters,95126,Evangeline,Dawson,3/3/1988,f,1590 Southwest Expy,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 255-4000,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,500,80792768,180,$24.16,Thomas Madruga,"991 W Hedding St San Jose, CA 95126-1248",(408) 248-8400
Renters,94086,Noah,Houston,6/6/1986,m,825 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 377-2331,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,750,99565944,180,$18.66,Mark Rizzo,"2695 Moorpark Ave Ste 202b San Jose, CA 95128-4710",(408) 449-4820
Renters,95134,Levi,Shepherd,3/3/1988,f,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 404-7453,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,1000,56887547,180,$17.80,Erich Stiegler,"1911 Tarob Ct Milpitas, CA 95035-6825",(408) 813-5348
Renters,94087,Delilah,Joseph,4/5/1990,f,745 S Bernardo Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 308-7225,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,1500,60727467,180,$16.76,Svetlana Serebnitskaya,"1700 Ygnacio Valley Rd Ste210aWalnut Creek, CA 94598-3126",(925) 352-7447
Renters,95131,Parker,Peterson,6/6/1986,f,1600 Whitewood Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(866) 270-9902,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,2500,7997516,180,$15.20,Carlos Ramirez,"3148 Alum Rock Ave San Jose, CA 95127-2903",(408) 726-5615
Renters,95129,Isla,Park,3/3/1988,f,355 Kiely Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 282-3083,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,1000,500000,N,5000,16317942,180,$13.29,Lily Zhao,"1340 S De Anza Blvd Ste 203San Jose, CA 95129-4644",(408) 398-4616
Renters,95035,Sadie,Ortega,2/4/1989,f,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(858) 571-0104,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,100,97578077,180,$21.93,Jeannette Sacman,"1659 Scott Blvd Ste 10 Santa Clara, CA 95050-4137",(408) 984-2790
Renters,94043,Iris,Wood,4/5/1990,m,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 570-5010,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,100 / 250,11404210,180,$21.06,Chiu Ling Lin,"1340 S De Anza Blvd Ste 203San Jose, CA 95129-4644",(408) 657-3919
Renters,95126,Aron,Wilkins,11/12/1990,f,754 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 873-9090,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,250,85353559,180,$22.43,Dipika Vora,"2603 Camino Ramon Ste 433 San Ramon, CA 94583-9129",(408) 941-0094
Renters,94040,Zoe,Vaughn,4/5/1990,f,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 440-1155,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,500,1102212,180,$16.20,Erich Stiegler,"1911 Tarob Ct Milpitas, CA 95035-6825",(408) 813-5348
Renters,94087,Anna,Watson,2/4/1989,f,575 E Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 308-7225,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,750,84267490,180,$15.16,Byung Soo Kim,"920 Saratoga Ave Ste 210 San Jose, CA 95129-3408",(408) 244-1629
Renters,95050,Penelope,Martin,12/1/1988,m,444 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 997-0400,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,1000,32167275,180,$14.30,Bin Lu,"6472 Camden Ave Ste 209 San Jose, CA 95120-2827",(408) 728-9789
Renters,94086,Brielle,Moreno,3/3/1988,f,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 513-0086,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,1500,10960277,180,$13.26,Qing Sun,"12140 Artesia Blvd Ste 209 Artesia, CA 90701-4055",(562) 810-0500
Renters,95126,Sofia,Harris,5/6/1989,f,2050 Southwest Expy 126,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 359-8979,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,2500,48708131,180,$14.89,Amar Sehgal,"915 Meridian Ave Ste 209 San Jose, CA 95126-4097",(408) 298-2194
Renters,95037,Lilah,Lewis,2/4/1989,m,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(831) 469-3620,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,100000,N,5000,6413358,180,$19.29,David Castillo,"2670 S White Rd Ste 271 San Jose, CA 95148-2086",(408) 238-2000
Renters,95020,Aria,King,2/4/1989,m,8200 Kern Ave,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 528-2128,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,100,89967428,180,$45.61,Sean Rovai,"6990 Soquel Dr Aptos, CA 95003-3651",(831) 462-3222
Renters,95123,Reese,Sanders,6/6/1986,m,1045 Coleman Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 359-1757,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,100 / 250,33324924,180,$28.95,Bin Lu,"6472 Camden Ave Ste 209 San Jose, CA 95120-2827",(408) 728-9789
Renters,95050,Joseph,Pittman,2/4/1989,m,444 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 496-6300,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,250,37572335,180,$19.68,Bin Lu,"6472 Camden Ave Ste 209 San Jose, CA 95120-2827",(408) 728-9789
Renters,95014,Lydia,Garcia,3/3/1988,f,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 755-8133,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,500,82007310,180,$16.20,David Kelly,"510 Bercut Dr Ste F Sacramento, CA 95811-0111",(916) 447-9797
Renters,95020,Gemma,Lawson,3/27/1987,f,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 440-7285,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,750,24856508,180,$32.10,Albert Pinheiro,"190 1st StGilroy, CA 95020-5129",(408) 842-4619
Renters,95054,Anabel,Marquez,4/5/1990,m,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 688-2085,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,1000,,,,,,
Renters,95035,Ariana,Hoover,3/3/1988,m,755 E Capitol Ave,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 474-8052,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,1500,,,,,,
Renters,95123,Izabella,Hill,2/4/1989,f,6184 Cottle Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 348-6130,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,2500,36390091,180,$16.97,Preeti Sehgal,"584b Blossom Hill Rd San Jose, CA 95123-3212",(408) 674-2935
Renters,94086,Abigail,Stevens,11/18/1989,m,655 S Fair Oaks Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 848-3474,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,300000,N,5000,,,,,,
Renters,95126,Harrison,Fowler,4/5/1990,f,950 Meridian Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 864-3333,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,32000,Keep default,2000,500000,N,100,97559183,180,$31.73,Tyler Carlin,"9300 Madison Ave Ste 201Orangevale, CA 95662-4961",(916) 988-5525
